미래시나리오순위,학교명,학교급,구,동,학생수,도시개발영향점수,도시개발영향순위,적격성점수,적격성순위,미래시나리오점수,현행운영여부,영향사업수,영향사업목록,lat,lon
186,대전가장초등학교,초,서구,가장동,493,0.5718,13,0.28,229,0.3675,,10,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 변동A(4_조합설립); 가장동1(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),36.3305,127.3887528
187,대전죽동초등학교,초,유성구,온천2동,818,0.0,126,0.5202,148,0.3641,,0,,36.370421,127.3356513
188,대전선유초등학교,초,서구,관저2동,835,0.0,126,0.5174,152,0.3622,,0,,36.2949457,127.341235
189,충남중학교,중,동구,신인동,792,0.1584,86,0.4475,185,0.3608,,4,대동4·8(3_사업시행); 신안1(5_초기); 판암6(5_초기); 신흥동5(5_초기),36.3245875,127.4440635
190,대전원신흥초등학교복용분교장,초,유성구,상대동,669,0.0,126,0.513,154,0.3591,Y,0,,36.346743,127.3303713
191,대전관저초등학교,초,서구,관저1동,331,0.0,126,0.5101,155,0.3571,,0,,36.3065734,127.3398901
192,대전화정초등학교,초,대덕구,오정동,152,0.2406,63,0.4048,204,0.3555,,4,대화동1(2_관리처분); 대화동2(3_사업시행); 대화동3(5_초기); 소라(9_미정),36.3573291,127.4118971
193,대전상대초등학교,초,유성구,상대동,634,0.0,126,0.5058,158,0.3541,,0,,36.3474262,127.3365151
194,대전호수초등학교,초,서구,도안동,897,0.0,126,0.5022,160,0.3515,,0,,36.3204731,127.3502082
195,갈마중학교,중,서구,갈마1동,63,0.0,126,0.5,162,0.35,,0,,36.3474707,127.3646118
196,대전원앙초등학교,초,서구,관저1동,224,0.0,126,0.4927,166,0.3449,,0,,36.3114556,127.3378
196,대전갑천중학교,중,서구,월평3동,731,0.0,126,0.4927,166,0.3449,,0,,36.3619688,127.3691739
198,흥도초등학교,초,유성구,원신흥동,772,0.0,126,0.492,168,0.3444,Y,0,,36.3341902,127.3387326
198,대전둔천초등학교,초,서구,만년동,194,0.0,126,0.492,168,0.3444,,0,,36.3684922,127.3740023
200,충남여자중학교,중,중구,목동,1006,0.3012,52,0.3622,213,0.3439,,6,용두동3(4_조합설립); 용두동2(2_관리처분); 태평동2(4_조합설립); 선화2(2_관리처분); 오류동1(3_사업시행); 오류동삼성(9_미정),36.3301968,127.4109427
201,대전만년초등학교,초,서구,만년동,159,0.0,126,0.4911,170,0.3438,,0,,36.3671306,127.3773117
202,대전월평초등학교,초,서구,월평1동,110,0.0,126,0.4822,172,0.3375,,0,,36.3557995,127.358104
203,대전성천초등학교,초,서구,월평2동,29,0.0,126,0.4774,173,0.3342,,0,,36.3631631,127.3734766
204,대전문정중학교,중,서구,둔산3동,1215,0.0,126,0.4753,174,0.3327,,0,,36.3549761,127.4008621
205,대전괴정중학교,중,서구,괴정동,555,0.0367,116,0.4512,183,0.3268,,1,내동2(4_조합설립),36.3402017,127.3790856
206,대전성모초등학교,초,중구,대흥동,658,0.2529,62,0.3545,216,0.324,,6,용두동3(4_조합설립); 대사동3(9_미정); 대사동4(9_미정); 대흥동1(4_조합설립); 대흥2(1_공사중); 선화1-A(5_초기),36.32246,127.4193093
207,대전둔원중학교,중,서구,갈마2동,576,0.0367,116,0.4465,188,0.3236,,1,내동2(4_조합설립),36.3425045,127.3765274
208,대전신흥초등학교,초,동구,신인동,1026,0.2935,56,0.3352,218,0.3227,,5,대동4·8(3_사업시행); 대전역복합2(3_사업시행); 신안1(5_초기); 신흥동5(5_초기); 문창동2(4_조합설립),36.3256406,127.4399239
209,대전봉산초등학교,초,서구,갈마1동,368,0.0,126,0.4608,178,0.3226,,0,,36.3451704,127.3659116
210,대전삼천중학교,중,서구,둔산2동,1108,0.0,126,0.4573,180,0.3201,,0,,36.3585826,127.3940265
211,대전둔산중학교,중,서구,갈마1동,541,0.0,126,0.4512,183,0.3158,,0,,36.3533151,127.372252
212,대전갈마초등학교,초,서구,갈마1동,233,0.0,126,0.447,186,0.3129,,0,,36.3559583,127.3693227
213,대전원평초등학교,초,중구,유천2동,257,0.4294,22,0.2604,234,0.3111,,15,문화동5(9_미정); 문화동7(9_미정); 문화2(1_공사중); 태평동2(4_조합설립); 오류동1(3_사업시행); 유천동1(5_초기); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정); 오류동삼성(9_미정),36.3216702,127.3999032
214,대전오류초등학교,초,중구,오류동,249,0.487,15,0.2339,238,0.3098,,11,용두동3(4_조합설립); 문화2(1_공사중); 태평동2(4_조합설립); 오류동1(3_사업시행); 유천동1(5_초기); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 오류동삼성(9_미정),36.324966,127.4047562
215,대전도솔초등학교,초,서구,도안동,1141,0.0,126,0.4414,190,0.309,,0,,36.3111845,127.3475014
216,대전봉명초등학교,초,유성구,원신흥동,684,0.0,126,0.4363,192,0.3054,,0,,36.3496096,127.3434709
217,대전탄방중학교,중,서구,둔산1동,1217,0.0,126,0.4361,193,0.3053,,0,,36.350383,127.3943685
218,대전유평초등학교,초,중구,태평1동,215,0.3802,33,0.2712,231,0.3039,,9,용두동2(2_관리처분); 태평동2(4_조합설립); 오류동1(3_사업시행); 가장동1(6_입안); 태평동3(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정),36.3300035,127.3974668
219,대전갑천초등학교,초,서구,월평3동,426,0.0,126,0.4314,194,0.302,,0,,36.3608614,127.3676786
220,대전동산초등학교,초,대덕구,오정동,226,0.1589,85,0.361,214,0.3004,,5,삼성5(4_조합설립); 삼성7(5_초기); 오정동1(9_미정); 홍도동3(6_입안); 홍도동2(3_사업시행),36.3505625,127.4214961
221,대전둔원초등학교,초,서구,,540,0.0,126,0.4271,197,0.299,,0,,36.3436193,127.3742794
222,대전어은초등학교,초,유성구,온천2동,510,0.0,126,0.4229,200,0.296,,0,,36.3648963,127.3536946
223,대전버드내초등학교,초,중구,태평2동,630,0.4852,16,0.2141,241,0.2954,,12,산성동2(3_사업시행); 유천동1(5_초기); 유천동3(4_조합설립); 도마·변동2(4_조합설립); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 유천동2(6_입안); 유천동2(중복)(6_입안); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),36.3194287,127.3915009
224,대전탄방초등학교용문분교장,초,서구,용문동,493,0.2856,57,0.2911,226,0.2894,,3,용두동2(2_관리처분); 용문동4(6_입안); 용문동1·2·3(1_공사중),36.3409359,127.3975163
225,대전글꽃초등학교,초,중구,문화1동,770,0.3499,42,0.261,233,0.2877,,10,대사동3(9_미정); 문화동5(9_미정); 문화동7(9_미정); 문화동8(1_공사중); 문화2(1_공사중); 유천동1(5_초기); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 오류동삼성(9_미정),36.3186639,127.4097377
226,대전태평초등학교,초,중구,태평2동,415,0.3231,48,0.2597,235,0.2787,,10,태평동2(4_조합설립); 오류동1(3_사업시행); 유천동1(5_초기); 도마·변동2(4_조합설립); 태평동3(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),36.3229254,127.3950265
227,대전선화초등학교,초,중구,은행선화동,701,0.4694,18,0.191,242,0.2745,,7,삼성1(3_사업시행); 삼성3(5_초기); 삼성6(4_조합설립); 선화1-A(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 삼성동1(3_사업시행),36.3326733,127.4234663
228,서대전초등학교,초,중구,용두동,214,0.1961,77,0.2928,225,0.2638,,7,용두동3(4_조합설립); 태평동2(4_조합설립); 오류동1(3_사업시행); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 오류동삼성(9_미정),36.3259585,127.41044
229,대전서원초등학교,초,서구,둔산2동,585,0.0,126,0.3745,210,0.2622,,0,,36.3593773,127.3943323
230,대전용전초등학교,초,동구,용전동,534,0.0942,96,0.315,222,0.2488,,2,송촌동1(6_입안); 홍도동2(3_사업시행),36.3561565,127.4303126
231,대전성룡초등학교,초,서구,월평3동,854,0.0,126,0.3468,217,0.2428,,0,,36.3619376,127.3735199
232,대전목양초등학교,초,중구,목동,602,0.2856,57,0.2191,240,0.239,,4,용두동2(2_관리처분); 용문동4(6_입안); 중촌시영(9_미정); 용문동1·2·3(1_공사중),36.3367275,127.4048004
233,대전중촌초등학교,초,중구,중촌동,262,0.1684,83,0.2663,232,0.2369,,5,삼성3(5_초기); 삼성5(4_조합설립); 삼성7(5_초기); 용문동4(6_입안); 중촌시영(9_미정),36.3412467,127.41106
234,대전문정초등학교,초,서구,둔산3동,460,0.0,126,0.3336,219,0.2335,,0,,36.3505437,127.3958379
235,대전삼천초등학교,초,서구,둔산3동,631,0.0,126,0.3234,220,0.2264,,0,,36.3539594,127.4012153
236,대전동도초등학교,초,대덕구,오정동,73,0.0787,100,0.2885,227,0.2256,,4,삼성5(4_조합설립); 삼성7(5_초기); 오정동1(9_미정); 중촌시영(9_미정),36.3478144,127.4124032
237,대전탄방초등학교,초,서구,탄방동,602,0.1885,78,0.2363,237,0.222,,2,용문동4(6_입안); 용문동1·2·3(1_공사중),36.3456534,127.3911856
238,대전샘머리초등학교,초,서구,둔산2동,700,0.0,126,0.3164,221,0.2215,,0,,36.3632745,127.3933215
239,대전백운초등학교,초,서구,괴정동,664,0.0568,110,0.2847,228,0.2163,,1,내동2(4_조합설립),36.3405387,127.3850093
240,대전목동초등학교,초,중구,목동,640,0.1548,87,0.2225,239,0.2022,,3,용두동3(4_조합설립); 용두동2(2_관리처분); 중촌시영(9_미정),36.3345455,127.4082366
241,대전중앙초등학교,초,중구,은행선화동,1082,0.3,53,0.1564,243,0.1995,,5,용두동3(4_조합설립); 선화1-A(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 오류동삼성(9_미정),36.3307172,127.4141355
242,대전둔산초등학교,초,서구,둔산2동,407,0.0,126,0.2749,230,0.1924,,0,,36.3499471,127.3814036
243,한밭초등학교,초,서구,둔산1동,1604,0.0,126,0.2396,236,0.1677,,0,,36.3545007,127.3941584
